%OpenBCI Raw EXG Data
%Number of channels = 4
%Sample Rate = 200 Hz
%Board = OpenBCI_GUI$BoardGanglionBLE
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Timestamp, Other, Timestamp (Formatted)
0.0, -818.9632922969759, -408.20634026359767, -520.2443931861781, -460.08249254897237, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7103949330200725E9, 0.0, 2024-03-13 22:42:13.020
1.0, -805.4285943573341, -397.73088048771024, -515.2628464451991, -451.30868725292385, 0.0, 0.6240000296384096, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7103949330334556E9, 0.0, 2024-03-13 22:42:13.033
1.0, -781.0107875466347, -376.2563749421388, -495.1122654839419, -432.7326041730121, 0.0, 0.6240000296384096, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7103949330334556E9, 0.0, 2024-03-13 22:42:13.033
2.0, -798.4836001396179, -385.8043395290151, -489.82030704664066, -438.14797930885106, 0.800000037997961, 0.6240000296384096, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7103949330505712E9, 0.0, 2024-03-13 22:42:13.050
2.0, -808.1699410248548, -397.02029949612916, -512.5962977767922, -458.01806777343154, 0.800000037997961, 0.6240000296384096, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7103949330505712E9, 0.0, 2024-03-13 22:42:13.050
3.0, -792.2978056129068, -377.05297363270074, -498.2986602461897, -438.04326211009175, 0.800000037997961, 0.6240000296384096, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.710394933064114E9, 0.0, 2024-03-13 22:42:13.064
3.0, -792.9485482051969, -380.71807558927685, -491.3648857283406, -438.85108050052077, 0.800000037997961, 0.6240000296384096, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.710394933064114E9, 0.0, 2024-03-13 22:42:13.064
4.0, -824.1580133354291, -416.3481024671346, -512.2335274810903, -467.46879496145993, 0.800000037997961, 0.6240000296384096, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.710394933064967E9, 0.0, 2024-03-13 22:42:13.064
4.0, -806.7039002422243, -402.521692330949, -514.1483562584035, -459.64866415411234, 0.800000037997961, 0.6240000296384096, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.710394933064967E9, 0.0, 2024-03-13 22:42:13.064
5.0, -786.2728267842904, -389.1403302894905, -493.15629780711606, -442.00007626321167, 0.800000037997961, 0.6240000296384096, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.710394933078954E9, 0.0, 2024-03-13 22:42:13.078
5.0, -790.6933885319158, -385.5238470323384, -493.2797145056538, -437.63935291487724, 0.800000037997961, 0.6240000296384096, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.710394933078954E9, 0.0, 2024-03-13 22:42:13.078
6.0, -795.6375362733379, -389.7087950827554, -505.46804846124724, -451.2600685534999, 0.800000037997961, 0.6240000296384096, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.710394933079894E9, 0.0, 2024-03-13 22:42:13.079
6.0, -796.3032384654507, -392.72315444704145, -512.4167825789191, -454.0762132201344, 0.800000037997961, 0.6240000296384096, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.710394933079894E9, 0.0, 2024-03-13 22:42:13.079
7.0, -789.6836155438796, -389.2562671881169, -499.5066479318775, -445.90079191699624, 0.800000037997961, 0.6240000296384096, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.710394933093288E9, 0.0, 2024-03-13 22:42:13.093
7.0, -788.0081403637305, -383.6613768544048, -502.6668633944355, -448.1783909900114, 0.800000037997961, 0.6240000296384096, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.710394933093288E9, 0.0, 2024-03-13 22:42:13.093
8.0, -795.8918494703248, -387.4162364099175, -516.1342431348749, -448.8478330820799, 0.800000037997961, 0.6240000296384096, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7103949331097784E9, 0.0, 2024-03-13 22:42:13.109
8.0, -797.3653700528666, -397.39802939165384, -503.5158206843771, -450.6616845605895, 0.800000037997961, 0.6240000296384096, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7103949331097784E9, 0.0, 2024-03-13 22:42:13.109
9.0, -823.0173438489437, -425.78387005534023, -528.7938044848852, -479.02134592458606, 0.800000037997961, 0.6240000296384096, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.71039493310988E9, 0.0, 2024-03-13 22:42:13.109
9.0, -804.4637001687661, -397.6261632889509, -521.7777521680109, -460.46022244449705, 0.800000037997961, 0.6240000296384096, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.71039493310988E9, 0.0, 2024-03-13 22:42:13.109
10.0, -794.2575131896883, -394.899776221253, -516.807425126899, -455.71428940072656, 0.800000037997961, 0.6240000296384096, 0.27200001291930676, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7103949331235063E9, 0.0, 2024-03-13 22:42:13.123
10.0, -812.231472376734, -407.9819462662563, -514.7168210516684, -472.6597760999575, 0.800000037997961, 0.6240000296384096, 0.27200001291930676, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7103949331235063E9, 0.0, 2024-03-13 22:42:13.123
11.0, -827.9203526908532, -432.0519423810765, -547.0407763686962, -493.4648395534605, 0.800000037997961, 0.6240000296384096, 0.27200001291930676, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7103949331393037E9, 0.0, 2024-03-13 22:42:13.139
11.0, -820.1824996825308, -417.5598300527781, -536.7298721908592, -480.5285256067291, 0.800000037997961, 0.6240000296384096, 0.27200001291930676, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7103949331393037E9, 0.0, 2024-03-13 22:42:13.139
12.0, -823.653126841411, -427.99415092915297, -536.7859706901945, -480.2742124097422, 0.800000037997961, 0.6240000296384096, 0.27200001291930676, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7103949331398163E9, 0.0, 2024-03-13 22:42:13.139
12.0, -824.5955816302449, -418.84635563753545, -521.7216536686756, -478.72215392813087, 0.800000037997961, 0.6240000296384096, 0.27200001291930676, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7103949331398163E9, 0.0, 2024-03-13 22:42:13.139
13.0, -808.9403604157269, -406.6655014818534, -519.9115420901217, -461.49617473222315, 0.800000037997961, 0.6240000296384096, 0.27200001291930676, 0.0, 0.0, 0.0, 0.0, 0.0, 1.710394933153242E9, 0.0, 2024-03-13 22:42:13.153
13.0, -811.1805604891852, -405.10596320033073, -510.97692109597847, -458.5902724666521, 0.800000037997961, 0.6240000296384096, 0.27200001291930676, 0.0, 0.0, 0.0, 0.0, 0.0, 1.710394933153242E9, 0.0, 2024-03-13 22:42:13.153
