%OpenBCI Raw EXG Data
%Number of channels = 4
%Sample Rate = 200 Hz
%Board = OpenBCI_GUI$BoardGanglionBLE
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Timestamp, Other, Timestamp (Formatted)
2.0, 15.543024215847254, 12.943793746642768, 8.209080402739346, 11.70588686130941, 0.8640000410377979, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.710394548821894E9, 0.0, 2024-03-13 22:35:48.821
2.0, 7.853789906948805, 6.6196229215711355, 12.06117735709995, 9.525525187142193, 0.8640000410377979, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.710394548821894E9, 0.0, 2024-03-13 22:35:48.821
3.0, 5.022685640491545, 8.788764895871282, -2.7937052669003606, -1.7876721788197756, 0.8640000410377979, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.710394548836368E9, 0.0, 2024-03-13 22:35:48.836
3.0, 15.984332410618663, 17.71964599005878, 14.667887626215816, 11.144901867955923, 0.8640000410377979, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.710394548836368E9, 0.0, 2024-03-13 22:35:48.836
4.0, 10.714813373051584, 19.069749874062836, 8.960800293833017, 7.169388215057552, 0.8640000410377979, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7103945488370829E9, 0.0, 2024-03-13 22:35:48.837
4.0, 21.956952639855444, 17.929080387577415, -7.9061485063284636, 4.581377445720136, 0.8640000410377979, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7103945488370829E9, 0.0, 2024-03-13 22:35:48.837
5.0, 23.935359716415405, 23.68852631933987, 12.44264715258032, 14.806263924576342, 0.8640000410377979, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7103945488507748E9, 0.0, 2024-03-13 22:35:48.850
5.0, 16.672474002465606, 24.844155405648053, 13.519738339819014, 13.041031145490706, 0.8640000410377979, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7103945488507748E9, 0.0, 2024-03-13 22:35:48.850
6.0, 16.679953802376986, 20.49465175718069, 2.8423239663243294, 13.205586743541062, 0.8640000410377979, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.710394548866418E9, 0.0, 2024-03-13 22:35:48.866
6.0, 20.356275458820164, 19.836429364979267, 7.214267014525831, 11.982639458030462, 0.8640000410377979, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.710394548866418E9, 0.0, 2024-03-13 22:35:48.866
7.0, 19.013651374727488, 18.411527481861413, 18.415267381817102, 17.27459789533168, 0.8640000410377979, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.710394548867125E9, 0.0, 2024-03-13 22:35:48.867
7.0, 8.983239693567157, 14.263978431001306, 13.25794534292072, 13.557137339375913, 0.8640000410377979, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.710394548867125E9, 0.0, 2024-03-13 22:35:48.867
8.0, 11.395475164987147, 18.374128482304513, 12.207033455371857, 16.825809900648892, 0.8640000410377979, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7103945488811643E9, 0.0, 2024-03-13 22:35:48.881
