%OpenBCI Raw EXG Data
%Number of channels = 4
%Sample Rate = 200 Hz
%Board = OpenBCI_GUI$BoardGanglionBLE
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Timestamp, Other, Timestamp (Formatted)
0.0, -649.317690406926, -296.0074716429226, -396.696798149962, -326.99067282583565, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.710394240069533E9, 0.0, 2024-03-13 22:30:40.069
1.0, -641.1422691037878, -288.50897223176435, -394.21724447933957, -321.02179249655455, 0.0, 0.4640000220388174, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7103942400822015E9, 0.0, 2024-03-13 22:30:40.082
1.0, -634.3543506842107, -290.0797302131541, -397.78884893702343, -322.2185604823753, 0.0, 0.4640000220388174, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7103942400822015E9, 0.0, 2024-03-13 22:30:40.082
2.0, -638.4233618360013, -290.9660865026526, -391.2440240145661, -325.8574831392616, 0.8160000387579203, 0.4640000220388174, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7103942400993404E9, 0.0, 2024-03-13 22:30:40.099
2.0, -650.5406376924366, -302.6794531638734, -400.85556690068915, -334.6125889355317, 0.8160000387579203, 0.4640000220388174, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7103942400993404E9, 0.0, 2024-03-13 22:30:40.099
3.0, -649.1718343086541, -309.04102298850194, -419.16237718379125, -343.7566443271935, 0.8160000387579203, 0.4640000220388174, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7103942401127791E9, 0.0, 2024-03-13 22:30:40.112
3.0, -648.9212610116228, -304.6129814409651, -408.1446319143288, -337.7428851984441, 0.8160000387579203, 0.4640000220388174, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7103942401127791E9, 0.0, 2024-03-13 22:30:40.112
4.0, -661.4686253629625, -309.07842198805884, -398.11048033321276, -337.93735999614, 0.8160000387579203, 0.4640000220388174, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7103942401133296E9, 0.0, 2024-03-13 22:30:40.113
4.0, -654.1870401492342, -303.8986605494283, -408.56724060932174, -338.1168751940131, 0.8160000387579203, 0.4640000220388174, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7103942401133296E9, 0.0, 2024-03-13 22:30:40.113
5.0, -639.6650086212903, -299.26118460437283, -403.4360978701152, -330.83902988024056, 0.8160000387579203, 0.4640000220388174, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.710394240128136E9, 0.0, 2024-03-13 22:30:40.128
5.0, -658.9067938933149, -298.3897879146971, -390.85133451921865, -332.8922349559143, 0.8160000387579203, 0.4640000220388174, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.710394240128136E9, 0.0, 2024-03-13 22:30:40.128
6.0, -656.7862706184387, -304.5007844422944, -411.4020847757347, -336.98742540739477, 0.8160000387579203, 0.4640000220388174, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7103942401285212E9, 0.0, 2024-03-13 22:30:40.128
6.0, -645.035504957661, -300.36071519134566, -418.46301589207724, -339.7175523750484, 0.8160000387579203, 0.4640000220388174, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7103942401285212E9, 0.0, 2024-03-13 22:30:40.128
7.0, -645.940560746938, -296.84146933304146, -392.2837162022479, -327.10660972446203, 0.8160000387579203, 0.4640000220388174, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7103942401424396E9, 0.0, 2024-03-13 22:30:40.142
7.0, -660.3279558764771, -308.65955319302157, -399.6961979144253, -330.40146158542484, 0.8160000387579203, 0.4640000220388174, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7103942401424396E9, 0.0, 2024-03-13 22:30:40.142
8.0, -651.0679635861889, -301.0226774835028, -415.27662112982944, -335.0090183308348, 0.8160000387579203, 0.4640000220388174, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7103942401581237E9, 0.0, 2024-03-13 22:30:40.158
8.0, -655.7839774303138, -309.4598917835392, -411.12159227905795, -337.24547850433737, 0.8160000387579203, 0.4640000220388174, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7103942401581237E9, 0.0, 2024-03-13 22:30:40.158
9.0, -670.2274710591882, -314.7518502208404, -403.028448774945, -338.83867588546127, 0.8160000387579203, 0.4640000220388174, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.710394240158703E9, 0.0, 2024-03-13 22:30:40.158
9.0, -669.3934733690694, -317.2164442916401, -420.8079331642948, -346.9355592895299, 0.8160000387579203, 0.4640000220388174, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.710394240158703E9, 0.0, 2024-03-13 22:30:40.158
10.0, -656.4833387220278, -313.67475903360173, -414.8390528350137, -344.7925966149196, 0.8160000387579203, 0.4640000220388174, 0.4640000220388174, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7103942401719449E9, 0.0, 2024-03-13 22:30:40.171
10.0, -669.9245391627774, -314.4563981243409, -408.6233391086571, -347.0851552877575, 0.8160000387579203, 0.4640000220388174, 0.4640000220388174, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7103942401719449E9, 0.0, 2024-03-13 22:30:40.171
11.0, -656.5431771213189, -311.58789485832676, -412.6998300603591, -343.0161441359669, 0.8160000387579203, 0.4640000220388174, 0.4640000220388174, 0.0, 0.0, 0.0, 0.0, 0.0, 1.710394240187736E9, 0.0, 2024-03-13 22:30:40.187
11.0, -653.670933955349, -310.6865789690055, -433.8901032092981, -351.1279871398583, 0.8160000387579203, 0.4640000220388174, 0.4640000220388174, 0.0, 0.0, 0.0, 0.0, 0.0, 1.710394240187736E9, 0.0, 2024-03-13 22:30:40.187
12.0, -652.8780751647428, -316.40862590121105, -408.20073041366413, -347.84435497876257, 0.8160000387579203, 0.4640000220388174, 0.4640000220388174, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7103942401883216E9, 0.0, 2024-03-13 22:30:40.188
12.0, -661.1432540668175, -317.8410075842403, -406.96656342828646, -342.5037778420374, 0.8160000387579203, 0.4640000220388174, 0.4640000220388174, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7103942401883216E9, 0.0, 2024-03-13 22:30:40.188
13.0, -656.8348893178627, -310.18543237494305, -426.0325734023936, -343.3489952320233, 0.8160000387579203, 0.4640000220388174, 0.4640000220388174, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7103942402019577E9, 0.0, 2024-03-13 22:30:40.201
13.0, -657.0405838154256, -317.470757488627, -412.1425849669613, -342.3803611434996, 0.8160000387579203, 0.4640000220388174, 0.4640000220388174, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7103942402019577E9, 0.0, 2024-03-13 22:30:40.201
14.0, -662.2652240535244, -317.7923888848163, -395.5374291636981, -343.2293184334412, 0.8160000387579203, 0.4640000220388174, 0.4640000220388174, 0.0, 0.0, 0.0, 0.0, 0.0, 1.710394240217739E9, 0.0, 2024-03-13 22:30:40.217
14.0, -658.1849932018667, -313.7981757321395, -414.0387142444961, -345.8360287025571, 0.8160000387579203, 0.4640000220388174, 0.4640000220388174, 0.0, 0.0, 0.0, 0.0, 0.0, 1.710394240217739E9, 0.0, 2024-03-13 22:30:40.217
15.0, -653.3530424591154, -316.10943390475586, -410.57182698557153, -343.92493982519954, 0.8160000387579203, 0.4640000220388174, 0.4640000220388174, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7103942402183363E9, 0.0, 2024-03-13 22:30:40.218
15.0, -659.66599358432, -309.41127308411524, -402.41510518221185, -344.33632882032543, 0.8160000387579203, 0.4640000220388174, 0.4640000220388174, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7103942402183363E9, 0.0, 2024-03-13 22:30:40.218
16.0, -659.2284252895042, -318.93679827125743, -411.7685949713923, -344.70283901598305, 0.8160000387579203, 0.4640000220388174, 0.4640000220388174, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7103942402319603E9, 0.0, 2024-03-13 22:30:40.231
16.0, -651.7448854781687, -305.74243122758344, -420.3666249695234, -338.6516808876768, 0.8160000387579203, 0.4640000220388174, 0.4640000220388174, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7103942402319603E9, 0.0, 2024-03-13 22:30:40.231
17.0, -652.2385522723198, -306.9354593134485, -402.52356228092685, -335.5999225238338, 0.8160000387579203, 0.4640000220388174, 0.4640000220388174, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7103942402479873E9, 0.0, 2024-03-13 22:30:40.247
