%OpenBCI Raw EXG Data
%Number of channels = 4
%Sample Rate = 200 Hz
%Board = OpenBCI_GUI$BoardGanglionBLE
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Timestamp, Other, Timestamp (Formatted)
0.0, -530.7815613113344, -338.5600533387624, -367.82290054205805, -519.7451165420935, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7103870830070465E9, 0.0, 2024-03-13 20:31:23.007
1.0, -437.5682948157191, -518.3351742587984, -295.6278717974201, -673.4119958714582, 0.0, -0.144000006839633, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7103870830205338E9, 0.0, 2024-03-13 20:31:23.020
1.0, -573.8109802515246, -567.3596528279595, -419.8505187756382, -776.0928191049024, 0.0, -0.144000006839633, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7103870830205338E9, 0.0, 2024-03-13 20:31:23.020
2.0, -416.02647107094526, -659.7164822337218, -228.90057678800076, -860.992287999019, 0.01600000075995922, -0.144000006839633, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7103870830376675E9, 0.0, 2024-03-13 20:31:23.037
2.0, -575.7276789788157, -754.5005067107268, -414.84840258490294, -898.7839770512655, 0.01600000075995922, -0.144000006839633, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7103870830376675E9, 0.0, 2024-03-13 20:31:23.037
3.0, -626.0349432327785, -589.8850702610798, -480.34714045887813, -781.1491638449952, 0.01600000075995922, -0.144000006839633, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7103870830380678E9, 0.0, 2024-03-13 20:31:23.038
3.0, -740.6927960743196, -413.70025329850614, -565.557021049317, -640.0745276664384, 0.01600000075995922, -0.144000006839633, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7103870830380678E9, 0.0, 2024-03-13 20:31:23.038
4.0, -612.8835850385949, -382.55623641749844, -439.7598761897534, -536.2866940461099, 0.01600000075995922, -0.144000006839633, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7103870830505416E9, 0.0, 2024-03-13 20:31:23.050
4.0, -773.8881480810232, -278.8562904461287, -621.4647854869254, -443.8064479418099, 0.01600000075995922, -0.144000006839633, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7103870830505416E9, 0.0, 2024-03-13 20:31:23.050
5.0, -614.2168593727984, -204.47342022741213, -450.4840393126942, -425.6791528565809, 0.01600000075995922, -0.144000006839633, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.710387083066046E9, 0.0, 2024-03-13 20:31:23.066
5.0, -576.6963130673394, -346.9598686392419, -365.6500186678022, -519.8760130405426, 0.01600000075995922, -0.144000006839633, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.710387083066046E9, 0.0, 2024-03-13 20:31:23.066
6.0, -469.83241173345596, -528.6236390369013, -296.90691758226603, -671.7028615917079, 0.01600000075995922, -0.144000006839633, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7103870830668206E9, 0.0, 2024-03-13 20:31:23.066
6.0, -591.2164746453054, -567.06420073146, -411.6264787730761, -774.3313262257725, 0.01600000075995922, -0.144000006839633, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7103870830668206E9, 0.0, 2024-03-13 20:31:23.066
7.0, -427.1938123386353, -663.3815841902979, -227.21014200802892, -859.5187674164772, 0.01600000075995922, -0.144000006839633, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7103870830802827E9, 0.0, 2024-03-13 20:31:23.080
7.0, -560.6708417572081, -760.4170284406282, -411.5759901236743, -899.0457700481638, 0.01600000075995922, -0.144000006839633, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7103870830802827E9, 0.0, 2024-03-13 20:31:23.080
8.0, -649.2859012573026, -594.3654704079963, -476.29308890691027, -781.1042850455269, 0.01600000075995922, -0.144000006839633, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7103870830960832E9, 0.0, 2024-03-13 20:31:23.096
8.0, -772.1154355020262, -424.4562055710703, -566.5667940373532, -637.980183691252, 0.01600000075995922, -0.144000006839633, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7103870830960832E9, 0.0, 2024-03-13 20:31:23.096
9.0, -632.8509109020233, -386.59906826959923, -434.8306880481541, -541.0849856892601, 0.01600000075995922, -0.144000006839633, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7103870830967891E9, 0.0, 2024-03-13 20:31:23.096
9.0, -782.5123573788442, -278.97970714466646, -620.698105996009, -441.513889268972, 0.01600000075995922, -0.144000006839633, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7103870830967891E9, 0.0, 2024-03-13 20:31:23.096
10.0, -608.2442391435616, -200.41562877548859, -443.1575752994977, -421.3034699084237, 0.01600000075995922, -0.144000006839633, 1.0560000501573086, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7103870831105735E9, 0.0, 2024-03-13 20:31:23.110
10.0, -541.4701953846961, -347.7676870296709, -367.22825644910336, -524.4162515867501, 0.01600000075995922, -0.144000006839633, 1.0560000501573086, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7103870831105735E9, 0.0, 2024-03-13 20:31:23.110
11.0, -445.9942894158885, -536.0136813493446, -302.15773712005466, -683.5546045512892, 0.01600000075995922, -0.12800000607967377, 1.0560000501573086, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7103870831260383E9, 0.0, 2024-03-13 20:31:23.126
11.0, -579.028140689712, -575.4602761319838, -421.7316884533502, -787.0769052747637, 0.01600000075995922, -0.12800000607967377, 1.0560000501573086, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7103870831260383E9, 0.0, 2024-03-13 20:31:23.126
12.0, -406.47102668415755, -662.704662298318, -225.43368952907622, -861.2017223965377, 0.01600000075995922, -0.12800000607967377, 1.0560000501573086, 0.0, 0.0, 0.0, 0.0, 0.0, 1.710387083126785E9, 0.0, 2024-03-13 20:31:23.126
12.0, -577.7995835542679, -768.801884141285, -415.3121501794085, -906.4358123606071, 0.01600000075995922, -0.12800000607967377, 1.0560000501573086, 0.0, 0.0, 0.0, 0.0, 0.0, 1.710387083126785E9, 0.0, 2024-03-13 20:31:23.126
13.0, -639.9548508678563, -601.3927424247377, -478.2527964836918, -785.8801372889429, 0.01600000075995922, -0.12800000607967377, 1.0560000501573086, 0.0, 0.0, 0.0, 0.0, 0.0, 1.710387083140388E9, 0.0, 2024-03-13 20:31:23.140
13.0, -745.0236002230085, -423.5997684812173, -561.1888179010712, -638.2232771883719, 0.01600000075995922, -0.12800000607967377, 1.0560000501573086, 0.0, 0.0, 0.0, 0.0, 0.0, 1.710387083140388E9, 0.0, 2024-03-13 20:31:23.140
14.0, -625.6291640875861, -388.1623464510776, -436.2481101313606, -545.415789837949, 0.01600000075995922, -0.12800000607967377, 1.0560000501573086, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7103870831564295E9, 0.0, 2024-03-13 20:31:23.156
14.0, -775.9675324563868, -278.153189254459, -616.8347893417813, -439.0979138975963, 0.01600000075995922, -0.12800000607967377, 1.0560000501573086, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7103870831564295E9, 0.0, 2024-03-13 20:31:23.156
15.0, -620.9673787928186, -199.99302008049563, -442.080484112259, -413.62545529939234, 0.01600000075995922, -0.12800000607967377, 1.0560000501573086, 0.0, 0.0, 0.0, 0.0, 0.0, 1.710387083156908E9, 0.0, 2024-03-13 20:31:23.156
15.0, -556.9384216014296, -348.20899522444233, -365.7285565668717, -523.1222462020814, 0.01600000075995922, -0.12800000607967377, 1.0560000501573086, 0.0, 0.0, 0.0, 0.0, 0.0, 1.710387083156908E9, 0.0, 2024-03-13 20:31:23.156
16.0, -453.59750602580607, -538.6166517185047, -298.34677906520665, -680.1213763919659, 0.01600000075995922, -0.12800000607967377, 1.0560000501573086, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7103870831706216E9, 0.0, 2024-03-13 20:31:23.170
16.0, -582.8727578441612, -572.5468940665014, -413.7283025481738, -779.7691407613456, 0.01600000075995922, -0.12800000607967377, 1.0560000501573086, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7103870831706216E9, 0.0, 2024-03-13 20:31:23.170
