%OpenBCI Raw EXG Data
%Number of channels = 4
%Sample Rate = 200 Hz
%Board = OpenBCI_GUI$BoardGanglionBLE
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Timestamp, Other, Timestamp (Formatted)
2.0, -5.486433234997094, -8.197860702872276, -3.788518655113876, 0.5273258937522769, 0.6720000319182873, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.710395162895138E9, 0.0, 2024-03-13 22:46:02.895
2.0, -15.333589818328619, -21.485725245438516, -20.401154258288443, -20.255298160016537, 0.6720000319182873, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.710395162895138E9, 0.0, 2024-03-13 22:46:02.895
3.0, -22.727372030727565, -30.61482103727758, -43.82040778081864, -31.265563629567623, 0.6720000319182873, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7103951629095662E9, 0.0, 2024-03-13 22:46:02.909
3.0, -18.224532484076917, -33.31128890533, -25.73051169514656, -25.180746401660144, 0.6720000319182873, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7103951629095662E9, 0.0, 2024-03-13 22:46:02.909
4.0, -10.221146578900516, -20.446033057756722, -16.89312809985131, -25.094728702679276, 0.6720000319182873, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7103951629101806E9, 0.0, 2024-03-13 22:46:02.910
4.0, -10.965386670082808, -16.616375503130257, -14.002185434103012, -15.733759113587439, 0.6720000319182873, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7103951629101806E9, 0.0, 2024-03-13 22:46:02.910
5.0, -2.6441092686727643, -25.199445901438594, -21.119215049780905, -23.049003426916897, 0.6720000319182873, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7103951629237962E9, 0.0, 2024-03-13 22:46:02.923
5.0, -40.92198531515896, -48.66731812339276, -39.11561363656074, -43.37909958604723, 0.6720000319182873, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7103951629237962E9, 0.0, 2024-03-13 22:46:02.923
6.0, -35.166279283352196, -28.258684065192938, -34.91570598632097, -25.68937279563397, 0.6720000319182873, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7103951629396384E9, 0.0, 2024-03-13 22:46:02.939
6.0, -14.406094629317522, -25.064809503033757, -27.548103073611856, -22.360861835069954, 0.6720000319182873, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7103951629396384E9, 0.0, 2024-03-13 22:46:02.939
7.0, -3.986733352765441, -28.10160826705396, -18.87901497632265, -24.238291612826288, 0.6720000319182873, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.710395162940195E9, 0.0, 2024-03-13 22:46:02.940
7.0, -46.3560599507764, -53.04674097150564, -46.090527053922415, -44.31407457496971, 0.6720000319182873, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.710395162940195E9, 0.0, 2024-03-13 22:46:02.940
8.0, -21.560523244552314, -30.98881103284657, -38.74536354094744, -30.457745239138603, 0.6720000319182873, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.710395162953922E9, 0.0, 2024-03-13 22:46:02.953
8.0, -19.33154287096113, -34.07048859633505, -34.64269328955561, -30.22587144188583, 0.6720000319182873, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.710395162953922E9, 0.0, 2024-03-13 22:46:02.953
9.0, -33.48706420324743, -39.8710734276101, -35.656206177547574, -37.91136585082859, 0.6720000319182873, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7103951629697962E9, 0.0, 2024-03-13 22:46:02.969
9.0, -40.877106515690684, -38.25543664675206, -35.588887978345156, -33.93959209788591, 0.6720000319182873, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7103951629697962E9, 0.0, 2024-03-13 22:46:02.969
10.0, -20.91352055221796, -36.72955746483058, -22.693712931126356, -28.423239663243294, 0.6720000319182873, 0.0, 0.41600001975893974, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7103951629706633E9, 0.0, 2024-03-13 22:46:02.970
10.0, -39.34000763390213, -42.081354301422834, -26.654266984201968, -35.31587528157979, 0.6720000319182873, 0.0, 0.41600001975893974, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7103951629706633E9, 0.0, 2024-03-13 22:46:02.970
11.0, -42.18981140013784, -43.4651172850281, -32.07712191995233, -33.71519810054451, 0.6720000319182873, 0.6880000326782465, 0.41600001975893974, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7103951629841533E9, 0.0, 2024-03-13 22:46:02.984
11.0, -31.172066130675375, -40.72003071755171, -39.75513652898371, -37.185825259424746, 0.6720000319182873, 0.6880000326782465, 0.41600001975893974, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7103951629841533E9, 0.0, 2024-03-13 22:46:02.984
12.0, -23.636167719960213, -34.762370088137686, -27.7537975711748, -35.13262018375099, 0.6720000319182873, 0.6880000326782465, 0.41600001975893974, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7103951629998744E9, 0.0, 2024-03-13 22:46:02.999
12.0, -37.230704058893025, -43.667071882635355, -39.47838393226266, -42.39924579765648, 0.6720000319182873, 0.6880000326782465, 0.41600001975893974, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7103951629998744E9, 0.0, 2024-03-13 22:46:02.999
13.0, -36.781916064210236, -38.71918424125761, -44.20187757629901, -40.64523271843791, 0.6720000319182873, 0.6880000326782465, 0.41600001975893974, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7103951630003643E9, 0.0, 2024-03-13 22:46:03.000
13.0, -24.025117315351963, -42.37680639792234, -40.26376292295754, -44.818961068987846, 0.6720000319182873, 0.6880000326782465, 0.41600001975893974, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7103951630003643E9, 0.0, 2024-03-13 22:46:03.000
14.0, -52.979422772303224, -50.58214690070599, -43.98870327882469, -45.226610164158046, 0.6720000319182873, 0.6880000326782465, 0.41600001975893974, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7103951630138836E9, 0.0, 2024-03-13 22:46:03.013
14.0, -57.332666320726275, -59.03806070052087, -57.84877251461148, -54.2472488572821, 0.6720000319182873, 0.6880000326782465, 0.41600001975893974, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7103951630138836E9, 0.0, 2024-03-13 22:46:03.013
15.0, -25.78287029452622, -28.98048475664109, -35.6823854772374, -35.94043857418001, 0.6720000319182873, 0.6880000326782465, 0.41600001975893974, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7103951630294363E9, 0.0, 2024-03-13 22:46:03.029
15.0, -39.52700263168663, -40.091727524995804, -30.17725274246186, -29.73220464773476, 0.6720000319182873, 0.6880000326782465, 0.41600001975893974, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7103951630294363E9, 0.0, 2024-03-13 22:46:03.029
16.0, -33.550642502494156, -31.86394762247801, -38.62568674236536, -37.37282025720924, 0.6720000319182873, 0.6880000326782465, 0.41600001975893974, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7103951630303197E9, 0.0, 2024-03-13 22:46:03.030
16.0, -53.87325886171311, -57.03721422422677, -62.624624758027494, -58.49951510690153, 0.6720000319182873, 0.6880000326782465, 0.41600001975893974, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7103951630303197E9, 0.0, 2024-03-13 22:46:03.030
17.0, -45.320107663050294, -54.883031849749386, -51.81631388608366, -58.77626770362258, 0.6720000319182873, 0.6880000326782465, 0.41600001975893974, 0.0, 0.0, 0.0, 0.0, 0.0, 1.710395163043794E9, 0.0, 2024-03-13 22:46:03.043
