%OpenBCI Raw EXG Data
%Number of channels = 4
%Sample Rate = 200 Hz
%Board = OpenBCI_GUI$BoardGanglionBLE
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Timestamp, Other, Timestamp (Formatted)
0.0, -672.4414918329567, -318.36272362805903, -422.54511669371277, -354.2395839029923, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7103943367409441E9, 0.0, 2024-03-13 22:32:16.740
1.0, -667.98727098573, -314.34981097560376, -415.44304667785764, -345.2077255100012, 0.0, 0.35200001671910286, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7103943367541394E9, 0.0, 2024-03-13 22:32:16.754
1.0, -650.6977134905756, -306.4698417689651, -421.7896569026634, -345.03195021208376, 0.0, 0.35200001671910286, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7103943367541394E9, 0.0, 2024-03-13 22:32:16.754
2.0, -656.3823614232242, -311.30927231162786, -410.9738662308082, -344.0072176242247, 0.8800000417977571, 0.35200001671910286, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.710394336770894E9, 0.0, 2024-03-13 22:32:16.770
2.0, -672.5200297320262, -312.80149239394814, -403.6698416173458, -344.6130814170465, 0.8800000417977571, 0.35200001671910286, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.710394336770894E9, 0.0, 2024-03-13 22:32:16.770
3.0, -668.3500412814319, -310.09380482602865, -420.6078485166654, -345.7238317038864, 0.8800000417977571, 0.35200001671910286, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7103943367717311E9, 0.0, 2024-03-13 22:32:16.771
3.0, -659.303223288618, -309.992827527225, -427.85951453074813, -348.8055092673749, 0.8800000417977571, 0.35200001671910286, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7103943367717311E9, 0.0, 2024-03-13 22:32:16.771
4.0, -668.2902028821409, -306.72041506599635, -408.36341606173664, -340.0578832710162, 0.8800000417977571, 0.35200001671910286, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7103943367839916E9, 0.0, 2024-03-13 22:32:16.783
4.0, -663.319875841029, -306.35390487033874, -409.6462017465383, -338.40110759064555, 0.8800000417977571, 0.35200001671910286, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7103943367839916E9, 0.0, 2024-03-13 22:32:16.783
5.0, -659.4154202872887, -310.6024312200025, -426.3859939482063, -344.77015721518546, 0.8800000417977571, 0.35200001671910286, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7103943368001688E9, 0.0, 2024-03-13 22:32:16.800
5.0, -662.8785676462576, -306.555859467946, -404.46270040795207, -340.0167443715036, 0.8800000417977571, 0.35200001671910286, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7103943368001688E9, 0.0, 2024-03-13 22:32:16.800
6.0, -671.9478250388056, -312.13205030187964, -418.96603243611753, -347.3095492850989, 0.8800000417977571, 0.35200001671910286, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.710394336800766E9, 0.0, 2024-03-13 22:32:16.800
6.0, -662.5344968503341, -311.9637548038736, -430.88509359490126, -348.96258506551385, 0.8800000417977571, 0.35200001671910286, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.710394336800766E9, 0.0, 2024-03-13 22:32:16.800
7.0, -666.0537427086383, -319.49591331463307, -425.36126136034727, -351.73759083263576, 0.8800000417977571, 0.35200001671910286, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7103943368142536E9, 0.0, 2024-03-13 22:32:16.814
7.0, -677.7371901702136, -313.64296988397837, -416.06760997045785, -344.15307372249663, 0.8800000417977571, 0.35200001671910286, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7103943368142536E9, 0.0, 2024-03-13 22:32:16.814
8.0, -676.2748892875388, -317.5960441371426, -441.52136906888336, -361.3940125182271, 0.8800000417977571, 0.35200001671910286, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7103943368299923E9, 0.0, 2024-03-13 22:32:16.829
8.0, -667.5272632911801, -316.9677409445867, -447.42293119896203, -363.70901059079915, 0.8800000417977571, 0.35200001671910286, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7103943368299923E9, 0.0, 2024-03-13 22:32:16.829
9.0, -679.1022536540404, -324.6719348533079, -432.41471267677844, -360.36927993036807, 0.8800000417977571, 0.35200001671910286, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7103943368306112E9, 0.0, 2024-03-13 22:32:16.830
9.0, -674.2478635115549, -322.4915731791407, -433.96677115838975, -356.438645076938, 0.8800000417977571, 0.35200001671910286, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7103943368306112E9, 0.0, 2024-03-13 22:32:16.830
10.0, -669.1017611725256, -324.46624035574496, -437.00730982236564, -361.33417411893606, 0.8800000417977571, 0.35200001671910286, 0.4480000212788582, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7103943368440268E9, 0.0, 2024-03-13 22:32:16.844
10.0, -672.6696257302538, -321.7174138883129, -421.47924520634115, -353.03159621730447, 0.8800000417977571, 0.35200001671910286, 0.4480000212788582, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7103943368440268E9, 0.0, 2024-03-13 22:32:16.844
11.0, -675.5867476956919, -320.61414340138435, -422.85552839003503, -350.19301215093583, 0.8800000417977571, 0.35200001671910286, 0.4480000212788582, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7103943368598888E9, 0.0, 2024-03-13 22:32:16.859
11.0, -664.7372979242355, -316.46659435052425, -436.5473021278158, -351.44587863609195, 0.8800000417977571, 0.35200001671910286, 0.4480000212788582, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7103943368598888E9, 0.0, 2024-03-13 22:32:16.859
12.0, -662.8037696471438, -315.2960056643933, -426.37477424833924, -350.1369136516005, 0.8800000417977571, 0.35200001671910286, 0.4480000212788582, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7103943368603497E9, 0.0, 2024-03-13 22:32:16.860
